resolve_request,hardness,node_index,node_name,node_counter,node_identifier,blockchain_length,is_pool,number_of_nodes,won
118,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
118,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
119,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
119,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
119,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
120,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
120,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
120,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
121,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
121,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
121,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
122,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
122,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
122,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
123,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
123,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
123,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
124,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
124,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
124,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
125,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
125,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
125,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
126,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
126,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
126,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
127,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
127,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
127,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
128,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
128,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
128,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
129,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
129,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
129,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
130,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
130,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
130,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
131,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
131,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
131,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
132,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
132,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
132,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
133,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
133,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
133,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
134,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
134,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
134,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
135,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
135,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
135,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
136,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
136,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
136,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
137,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
137,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
137,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
138,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
138,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
138,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
139,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
139,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
139,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
140,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
140,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
140,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
141,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
141,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
141,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
142,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
142,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
142,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
143,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
143,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
143,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
144,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
144,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
144,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
145,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
145,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
145,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
146,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
146,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
146,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
147,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
147,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
147,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
148,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
148,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
148,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
149,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
149,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
149,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
150,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
150,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
150,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
151,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
151,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
151,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
152,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
152,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
152,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
153,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
153,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
153,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
154,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
154,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
154,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
155,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
155,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
155,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
156,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
156,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
156,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
157,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
157,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
157,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
158,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
158,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
158,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
159,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
159,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
159,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
160,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
160,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
160,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
161,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
161,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
161,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
162,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
162,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
162,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
163,3,0,"('Node-0',)",0,0f1679f7884a45dcbcc2da3f5640a40f,2,False,1,True
163,3,1,"('Node-1',)",1,416da3ee0a5b4b778ceb70d03617ef5d,2,False,1,False
163,3,2,"('Node-2',)",2,2da82a79d8d54665963bc458730e7c6a,2,True,2,False
